LOCATION,Type of Meat,TIME,Value
ARG,POULTRY,1990,337.82
ARG,POULTRY,1991,393.04
ARG,POULTRY,1992,586.1
ARG,POULTRY,1993,714
ARG,POULTRY,1994,726.595
ARG,POULTRY,1995,803.219
ARG,POULTRY,1996,770.086
ARG,POULTRY,1997,811.557
ARG,POULTRY,1998,954.8224987
ARG,POULTRY,1999,959.5783151
ARG,POULTRY,2000,932.8876596
ARG,POULTRY,2001,660.4554976
ARG,POULTRY,2002,697.744626
ARG,POULTRY,2003,826.1915926
ARG,POULTRY,2004,934.6031362
ARG,POULTRY,2005,1081.786261
ARG,POULTRY,2006,1138.320462
ARG,POULTRY,2007,1254.409863
ARG,POULTRY,2008,1338.958118
ARG,POULTRY,2009,1398.41
ARG,POULTRY,2010,1580.719238
ARG,POULTRY,2011,1647.792
ARG,POULTRY,2012,1579.03
ARG,POULTRY,2013,1568.032732
ARG,POULTRY,2014,1621.210483
ARG,POULTRY,2015,1867.7
ARG,POULTRY,2016,1868.955556
ARG,POULTRY,2017,1887
ARG,POULTRY,2018,1904.412381
ARG,BEEF,1990,2588.922
ARG,BEEF,1991,2448.667
ARG,BEEF,1992,2441.882
ARG,BEEF,1993,2507.867
ARG,BEEF,1994,2388.224
ARG,BEEF,1995,2173.938
ARG,BEEF,1996,2226.499
ARG,BEEF,1997,2285.148
ARG,BEEF,1998,2144.907707
ARG,BEEF,1999,2383.907707
ARG,BEEF,2000,2385.107271
ARG,BEEF,2001,2342.40623
ARG,BEEF,2002,2180.404216
ARG,BEEF,2003,2277.856575
ARG,BEEF,2004,2406.803756
ARG,BEEF,2005,2384.75793
ARG,BEEF,2006,2474.659842
ARG,BEEF,2007,2688.039566
ARG,BEEF,2008,2706.544065
ARG,BEEF,2009,2722.01699
ARG,BEEF,2010,2323.126
ARG,BEEF,2011,2253.1073
ARG,BEEF,2012,2418.997779
ARG,BEEF,2013,2626.92
ARG,BEEF,2014,2477.756
ARG,BEEF,2015,2528.688
ARG,BEEF,2016,2417
ARG,BEEF,2017,2608.530998
ARG,BEEF,2018,2608.316551
ARG,SHEEP,1991,88.22100209
ARG,SHEEP,1992,72.14499956
ARG,SHEEP,1993,72.11999891
ARG,SHEEP,1994,92.78100338
ARG,SHEEP,1995,88.3769066
ARG,SHEEP,1996,71.58891226
ARG,SHEEP,1997,65.84590988
ARG,SHEEP,1998,58.2529111
ARG,SHEEP,1999,55.3579097
ARG,SHEEP,2000,59.16591152
ARG,SHEEP,2001,59.08791162
ARG,SHEEP,2002,58.37999844
ARG,SHEEP,2003,56.66400133
ARG,SHEEP,2004,55.05708923
ARG,SHEEP,2005,52.3819098
ARG,SHEEP,2006,51.266
ARG,SHEEP,2007,53.162
ARG,SHEEP,2008,50.15009063
ARG,SHEEP,2009,48.15
ARG,SHEEP,2010,48.15409192
ARG,SHEEP,2011,51.154
ARG,SHEEP,2012,56.154
ARG,SHEEP,2013,57.154
ARG,SHEEP,2014,57.15409123
ARG,SHEEP,2015,59.15409067
ARG,SHEEP,2016,60.15425088
ARG,SHEEP,2017,60.11697056
ARG,SHEEP,2018,60.69683747
ARG,PIG,1990,153.631
ARG,PIG,1991,153.161
ARG,PIG,1992,192.864
ARG,PIG,1993,211.257
ARG,PIG,1994,213.326
ARG,PIG,1995,227.095
ARG,PIG,1996,220.9
ARG,PIG,1997,217
ARG,PIG,1998,253.12
ARG,PIG,1999,287.452
ARG,PIG,2000,283.104
ARG,PIG,2001,228.557
ARG,PIG,2002,214.715
ARG,PIG,2003,192.947
ARG,PIG,2004,209.955
ARG,PIG,2005,240.605
ARG,PIG,2006,298.71
ARG,PIG,2007,307.536
ARG,PIG,2008,304.846
ARG,PIG,2009,332.953
ARG,PIG,2010,331.633
ARG,PIG,2011,348.663
ARG,PIG,2012,355.2
ARG,PIG,2013,426.242
ARG,PIG,2014,438.7521436
ARG,PIG,2015,473.40448
ARG,PIG,2016,494.4004517
ARG,PIG,2017,499.9934342
ARG,PIG,2018,506.0294473
AUS,PIG,1991,319.782984
AUS,PIG,1992,340.1828
AUS,PIG,1993,338.182596
AUS,PIG,1994,358.568197
AUS,PIG,1995,360.281323
AUS,PIG,1996,339.582573
AUS,PIG,1997,349.262222
AUS,PIG,1998,363.771894
AUS,PIG,1999,365.278938
AUS,PIG,2000,372.504521
AUS,PIG,2001,376.459636
AUS,PIG,2002,399.369688
AUS,PIG,2003,440.616333
AUS,PIG,2004,453.583139
AUS,PIG,2005,483.988432
AUS,PIG,2006,474.445179
AUS,PIG,2007,529.241209
AUS,PIG,2008,528.287981
AUS,PIG,2009,554.57547
AUS,PIG,2010,572.745247
AUS,PIG,2011,567.032328
AUS,PIG,2012,603.019571
AUS,PIG,2013,596.293148
AUS,PIG,2014,605.311687
AUS,PIG,2015,667.964097
AUS,PIG,2016,638.759761
AUS,PIG,2017,652.8902534
AUS,PIG,2018,660.9187696
AUS,SHEEP,1990,366.4514979
AUS,SHEEP,1991,379.2461194
AUS,SHEEP,1992,355.1841023
AUS,SHEEP,1993,349.8654441
AUS,SHEEP,1994,374.2650877
AUS,SHEEP,1995,309.0573008
AUS,SHEEP,1996,305.8148306
AUS,SHEEP,1997,314.7246253
AUS,SHEEP,1998,326.886267
AUS,SHEEP,1999,325.5937913
AUS,SHEEP,2000,353.2402841
AUS,SHEEP,2001,326.6889177
AUS,SHEEP,2002,303.7886279
AUS,SHEEP,2003,271.0117073
AUS,SHEEP,2004,270.733965
AUS,SHEEP,2005,274.9807579
AUS,SHEEP,2006,288.540557
AUS,SHEEP,2007,299.1664579
AUS,SHEEP,2008,266.4574532
AUS,SHEEP,2009,255.4133394
AUS,SHEEP,2010,225.9066027
AUS,SHEEP,2011,206.0695932
AUS,SHEEP,2012,227.0336319
AUS,SHEEP,2013,230.5072085
AUS,SHEEP,2014,217.6343377
AUS,SHEEP,2015,254.1676127
AUS,SHEEP,2016,236.1973339
AUS,SHEEP,2017,239.0781521
AUS,SHEEP,2018,247.4389464
AUS,POULTRY,1990,422.9061772
AUS,POULTRY,1991,434.262496
AUS,POULTRY,1992,439.896987
AUS,POULTRY,1993,468.685091
AUS,POULTRY,1994,488.9239712
AUS,POULTRY,1995,485.6305124
AUS,POULTRY,1996,500.0814856
AUS,POULTRY,1997,531.1312708
AUS,POULTRY,1998,577.6606588
AUS,POULTRY,1999,589.7842796
AUS,POULTRY,2000,633.8503158
AUS,POULTRY,2001,631.3400232
AUS,POULTRY,2002,708.4872144
AUS,POULTRY,2003,692.2454936
AUS,POULTRY,2004,733.9098732
AUS,POULTRY,2005,773.6616076
AUS,POULTRY,2006,820.7382056
AUS,POULTRY,2007,826.4162548
AUS,POULTRY,2008,806.2793704
AUS,POULTRY,2009,829.9534388
AUS,POULTRY,2010,947.7310288
AUS,POULTRY,2011,1011.634375
AUS,POULTRY,2012,1049.383196
AUS,POULTRY,2013,1061.304447
AUS,POULTRY,2014,1095.269657
AUS,POULTRY,2015,1123.072049
AUS,POULTRY,2016,1204.067615
AUS,POULTRY,2017,1245.183384
AUS,POULTRY,2018,1280.836731
AUS,BEEF,1991,686.147328
AUS,BEEF,1992,656.4265225
AUS,BEEF,1993,663.140845
AUS,BEEF,1994,652.121214
AUS,BEEF,1995,656.122533
AUS,BEEF,1996,713.345051
AUS,BEEF,1997,761.7535663
AUS,BEEF,1998,710.6941146
AUS,BEEF,1999,754.0702707
AUS,BEEF,2000,719.3777457
AUS,BEEF,2001,674.7104553
AUS,BEEF,2002,700.181306
AUS,BEEF,2003,727.7152944
AUS,BEEF,2004,815.5970833
AUS,BEEF,2005,783.7825375
AUS,BEEF,2006,792.608761
AUS,BEEF,2007,722.100506
AUS,BEEF,2008,711.3597358
AUS,BEEF,2009,728.7714632
AUS,BEEF,2010,801.044572
AUS,BEEF,2011,749.7840649
AUS,BEEF,2012,734.0556677
AUS,BEEF,2013,788.8132868
AUS,BEEF,2014,761.3926031
AUS,BEEF,2015,674.5285259
AUS,BEEF,2016,765.7795319
AUS,BEEF,2017,737.1154887
AUS,BEEF,2018,730.5679715
BGD,PIG,1990,0.00009
BGD,PIG,1991,0.00009
BGD,PIG,1992,0.00009
BGD,PIG,1993,0.00009
BGD,PIG,1994,0.00009
BGD,PIG,1995,0.00009
BGD,PIG,1996,0.00009
BGD,PIG,1997,0.00009
BGD,PIG,1998,0.00009
BGD,PIG,1999,0.00009
BGD,PIG,2000,0.00009
BGD,PIG,2001,0.00009
BGD,PIG,2002,0.00009
BGD,PIG,2003,0.00009
BGD,PIG,2004,0.00009
BGD,PIG,2005,0.00009
BGD,PIG,2006,0.00009
BGD,PIG,2007,0.00009
BGD,PIG,2008,0.00009
BGD,PIG,2009,0.00009
BGD,PIG,2010,0.00009
BGD,PIG,2011,0.00009
BGD,PIG,2012,0.00009
BGD,PIG,2013,0.00009
BGD,PIG,2014,0.00009
BGD,PIG,2015,0.00009
BGD,PIG,2016,0.00009
BGD,PIG,2017,0.0009
BGD,PIG,2018,0.0009
BGD,SHEEP,1990,75
BGD,SHEEP,1991,81
BGD,SHEEP,1992,87
BGD,SHEEP,1993,94
BGD,SHEEP,1994,100
BGD,SHEEP,1995,107
BGD,SHEEP,1996,119
BGD,SHEEP,1997,126
BGD,SHEEP,1998,131
BGD,SHEEP,1999,130
BGD,SHEEP,2000,132
BGD,SHEEP,2001,133
BGD,SHEEP,2002,140
BGD,SHEEP,2003,150
BGD,SHEEP,2004,164
BGD,SHEEP,2005,172
BGD,SHEEP,2006,166
BGD,SHEEP,2007,172
BGD,SHEEP,2008,179
BGD,SHEEP,2009,187
BGD,SHEEP,2010,195
BGD,SHEEP,2011,203
BGD,SHEEP,2012,204
BGD,SHEEP,2013,208
BGD,SHEEP,2014,210
BGD,SHEEP,2015,213
BGD,SHEEP,2016,216
BGD,SHEEP,2017,223.1708853
BGD,SHEEP,2018,230.3089589
BGD,POULTRY,1990,80
BGD,POULTRY,1991,83
BGD,POULTRY,1992,87
BGD,POULTRY,1993,94
BGD,POULTRY,1994,98
BGD,POULTRY,1995,103
BGD,POULTRY,1996,118
BGD,POULTRY,1997,124
BGD,POULTRY,1998,110
BGD,POULTRY,1999,112
BGD,POULTRY,2000,112
BGD,POULTRY,2001,112
BGD,POULTRY,2002,115
BGD,POULTRY,2003,136
BGD,POULTRY,2004,142
BGD,POULTRY,2005,151
BGD,POULTRY,2006,179
BGD,POULTRY,2007,189
BGD,POULTRY,2008,190
BGD,POULTRY,2009,198
BGD,POULTRY,2010,203
BGD,POULTRY,2011,208
BGD,POULTRY,2012,217
BGD,POULTRY,2013,220
BGD,POULTRY,2014,221
BGD,POULTRY,2015,224
BGD,POULTRY,2016,226
BGD,POULTRY,2017,230.7457757
BGD,POULTRY,2018,237.2172105
BGD,BEEF,1990,144
BGD,BEEF,1991,143
BGD,BEEF,1992,145
BGD,BEEF,1993,147
BGD,BEEF,1994,150
BGD,BEEF,1995,151
BGD,BEEF,1996,156
BGD,BEEF,1997,169
BGD,BEEF,1998,164
BGD,BEEF,1999,174
BGD,BEEF,2000,176
BGD,BEEF,2001,178
BGD,BEEF,2002,182
BGD,BEEF,2003,184
BGD,BEEF,2004,186
BGD,BEEF,2005,188
BGD,BEEF,2006,189
BGD,BEEF,2007,191
BGD,BEEF,2008,193
BGD,BEEF,2009,194
BGD,BEEF,2010,196
BGD,BEEF,2011,201
BGD,BEEF,2012,199
BGD,BEEF,2013,200
BGD,BEEF,2014,201
BGD,BEEF,2015,204
BGD,BEEF,2016,204
BGD,BEEF,2017,204.100723
BGD,BEEF,2018,201.2285043
BRA,SHEEP,1990,114.2863555
BRA,SHEEP,1991,115.834588
BRA,SHEEP,1992,116.9750478
BRA,SHEEP,1993,121.2385289
BRA,SHEEP,1994,118.180149
BRA,SHEEP,1995,128.2756629
BRA,SHEEP,1996,101.5696161
BRA,SHEEP,1997,107.3306204
BRA,SHEEP,1998,75.7
BRA,SHEEP,1999,76.8906
BRA,SHEEP,2000,81.241657
BRA,SHEEP,2001,75.882018
BRA,SHEEP,2002,71.672181
BRA,SHEEP,2003,71.875462
BRA,SHEEP,2004,79.067201
BRA,SHEEP,2005,80.518523
BRA,SHEEP,2006,84.026454
BRA,SHEEP,2007,90.763229
BRA,SHEEP,2008,85.675378
BRA,SHEEP,2009,92.02401
BRA,SHEEP,2010,90.541098
BRA,SHEEP,2011,89.978527
BRA,SHEEP,2012,92.13149
BRA,SHEEP,2013,94.596695
BRA,SHEEP,2014,95.46090004
BRA,SHEEP,2015,91.70303013
BRA,SHEEP,2016,92.66867969
BRA,SHEEP,2017,92.73373479
BRA,SHEEP,2018,92.79878989
BRA,PIG,1990,1040
BRA,PIG,1991,1094
BRA,PIG,1992,1142
BRA,PIG,1993,1185
BRA,PIG,1994,1289
BRA,PIG,1995,1404.051
BRA,PIG,1996,1545.265
BRA,PIG,1997,1469.543
BRA,PIG,1998,1578.977
BRA,PIG,1999,1674.092
