meat consummption,cancer rate,,heart disease rate
9.00E-01,1.6959317,,15616
9.00E-01,1.6959317,,132622
9.00E-01,1.6959317,,94918
9.00E-01,1.6959317,,151173
9.00E-01,1.6959317,,16994
9.00E-01,1.6959317,,78293
9.00E-01,1.6959317,,8981
9.00E-01,1.6959317,,137229
9.00E-01,1.6959317,,83923
9.00E-01,1.6959317,,91762
9.00E-01,1.6959317,,1624
9.00E-01,1.6959317,,12421
9.00E-01,1.6959317,,17143
9.00E-01,1.6959317,,166172
9.00E-01,1.6959317,,98334
9.00E-01,1.6959317,,11667
9.00E-01,1.6959317,,1216
9.00E-01,1.6959317,,1429
9.00E-01,1.6959317,,115286
9.00E-01,1.6959317,,86287
9.00E-01,1.6959317,,88862
9.00E-01,1.6959317,,146598
9.00E-01,1.6959317,,128131
9.00E-01,1.6959317,,7582
9.00E-01,1.6959317,,12198
9.00E-01,1.6959317,,15616
9.00E-01,1.6959317,,132622
9.00E-01,1.6959317,,94918
9.00E-01,1.6959317,,151173
9.00E-01,1.6959317,,16994
9.00E-01,1.6959317,,78293
9.00E-01,1.6959317,,8981
9.00E-01,1.6959317,,137229
9.00E-01,1.6959317,,83923
9.00E-01,1.6959317,,91762
9.00E-01,1.6959317,,1624
9.00E-01,1.6959317,,12421
9.00E-01,1.6959317,,17143
9.00E-01,1.6959317,,166172
9.00E-01,1.6959317,,98334
9.00E-01,1.6959317,,11667
9.00E-01,1.6959317,,1216
9.00E-01,1.6959317,,1429
9.00E-01,1.6959317,,115286
9.00E-01,1.6959317,,86287
9.00E-01,1.6959317,,88862
9.00E-01,1.6959317,,146598
9.00E-01,1.6959317,,128131
9.00E-01,1.6959317,,7582
9.00E-01,1.6959317,,12198
9.00E-01,1.6959317,,15616
9.00E-01,1.6959317,,132622
9.00E-01,1.6959317,,94918
9.00E-01,1.6959317,,151173
9.00E-01,1.6959317,,16994
9.00E-01,1.6959317,,78293
9.00E-01,1.6959317,,8981
9.00E-01,1.6959317,,137229
9.00E-01,1.6959317,,83923
9.00E-01,1.6959317,,91762
9.00E-01,1.6959317,,1624
9.00E-01,1.6959317,,12421
9.00E-01,1.6959317,,17143
9.00E-01,1.6959317,,166172
9.00E-01,1.6959317,,98334
9.00E-01,1.6959317,,11667
9.00E-01,1.6959317,,1216
9.00E-01,1.6959317,,1429
9.00E-01,1.6959317,,115286
9.00E-01,1.6959317,,86287
9.00E-01,1.6959317,,88862
9.00E-01,1.6959317,,146598
9.00E-01,1.6959317,,128131
9.00E-01,1.6959317,,7582
9.00E-01,1.6959317,,12198
9.00E-01,1.6959317,,15616
9.00E-01,1.6959317,,132622
9.00E-01,1.6959317,,94918
9.00E-01,1.6959317,,151173
9.00E-01,1.6959317,,16994
9.00E-01,1.6959317,,78293
9.00E-01,1.6959317,,8981
9.00E-01,1.6959317,,137229
9.00E-01,1.6959317,,83923
9.00E-01,1.6959317,,91762
9.00E-01,1.6959317,,1624
9.00E-01,1.6959317,,12421
9.00E-01,1.6959317,,17143
9.00E-01,1.6959317,,166172
9.00E-01,1.6959317,,98334
9.00E-01,1.6959317,,11667
9.00E-01,1.6959317,,1216
9.00E-01,1.6959317,,1429
9.00E-01,1.6959317,,115286
9.00E-01,1.6959317,,86287
9.00E-01,1.6959317,,88862
9.00E-01,1.6959317,,146598
9.00E-01,1.6959317,,128131
9.00E-01,1.6959317,,7582
9.00E-01,1.6959317,,12198
1,1.72445267,,5841
1,1.72445267,,56814
1,1.72445267,,5887
1,1.72445267,,52978
1,1.72445267,,547
1,1.72445267,,57537
1,1.72445267,,5839
1,1.72445267,,51963
1,1.72445267,,58646
1,1.72445267,,5617
1,1.72445267,,53325
1,1.72445267,,55383
1,1.72445267,,53421
1,1.72445267,,53965
1,1.72445267,,54698
1,1.72445267,,51944
1,1.72445267,,52281
1,1.72445267,,51937
1,1.72445267,,5587
1,1.72445267,,52154
1,1.72445267,,524
1,1.72445267,,52733
1,1.72445267,,5196
1,1.72445267,,52558
1,1.72445267,,54517
1,1.72445267,,5841
1,1.72445267,,56814
1,1.72445267,,5887
1,1.72445267,,52978
1,1.72445267,,547
1,1.72445267,,57537
1,1.72445267,,5839
1,1.72445267,,51963
1,1.72445267,,58646
1,1.72445267,,5617
1,1.72445267,,53325
1,1.72445267,,55383
1,1.72445267,,53421
1,1.72445267,,53965
1,1.72445267,,54698
1,1.72445267,,51944
1,1.72445267,,52281
1,1.72445267,,51937
1,1.72445267,,5587
1,1.72445267,,52154
1,1.72445267,,524
1,1.72445267,,52733
1,1.72445267,,5196
1,1.72445267,,52558
1,1.72445267,,54517
